<html xmlns="http://www.w3.org/1999/xhtml"><head><link title="Wrap Long Lines" href="resource://gre-resources/plaintext.css" type="text/css" rel="alternate stylesheet" /></head><body><pre># Assembly Name:  GRCh37.p12
# Description:    Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date: 2013-3-26
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly ID: GCA_000001405.13 (replaced)
# RefSeq Assembly ID: GCF_000001405.24 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit ID	RefSeq Unit ID	Assembly-Unit name
## 	GCF_000001305.13	Primary Assembly
## 	GCF_000001315.1	ALT_REF_LOCI_1
## 	GCF_000001325.2	ALT_REF_LOCI_2
## 	GCF_000001335.1	ALT_REF_LOCI_3
## 	GCF_000001345.1	ALT_REF_LOCI_4
## 	GCF_000001355.1	ALT_REF_LOCI_5
## 	GCF_000001365.2	ALT_REF_LOCI_6
## 	GCF_000001375.1	ALT_REF_LOCI_7
## 	GCF_000001385.1	ALT_REF_LOCI_8
## 	GCF_000001395.1	ALT_REF_LOCI_9
## 	GCF_000006015.1	non-nuclear
## 	GCF_000005045.11	PATCHES
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit
HG1079_PATCH	fix-patch	19	Chromosome	KB021647.1	=	NW_004166865.1	PATCHES
HSCHR19LRC_COX1_CTG1	novel-patch	19	Chromosome	GL949746.1	=	NW_003571054.1	PATCHES
HSCHR19LRC_COX2_CTG1	novel-patch	19	Chromosome	GL949747.1	=	NW_003571055.1	PATCHES
HSCHR19LRC_LRC_I_CTG1	novel-patch	19	Chromosome	GL949748.1	=	NW_003571056.1	PATCHES
HSCHR19LRC_LRC_J_CTG1	novel-patch	19	Chromosome	GL949749.1	=	NW_003571057.1	PATCHES
HSCHR19LRC_LRC_S_CTG1	novel-patch	19	Chromosome	GL949750.1	=	NW_003571058.1	PATCHES
HSCHR19LRC_LRC_T_CTG1	novel-patch	19	Chromosome	GL949751.1	=	NW_003571059.1	PATCHES
HSCHR19LRC_PGF1_CTG1	novel-patch	19	Chromosome	GL949752.1	=	NW_003571060.1	PATCHES
HSCHR19LRC_PGF2_CTG1	novel-patch	19	Chromosome	GL949753.1	=	NW_003571061.1	PATCHES
HSCHR20_1_CTG1	novel-patch	20	Chromosome	GL383577.1	=	NW_003315966.1	PATCHES
HG506_HG507_HG1000_PATCH	fix-patch	20	Chromosome	GL582979.2	=	NW_003571063.2	PATCHES
HG144_PATCH	fix-patch	20	Chromosome	JH720448.1	=	NW_003871095.1	PATCHES
HG944_PATCH	fix-patch	20	Chromosome	KB663608.1	=	NW_004504304.1	PATCHES
HSCHR21_1_CTG1_1	novel-patch	21	Chromosome	GL383578.1	=	NW_003315967.1	PATCHES
HSCHR21_2_CTG1_1	novel-patch	21	Chromosome	GL383579.1	=	NW_003315968.1	PATCHES
HSCHR21_3_CTG1_1	novel-patch	21	Chromosome	GL383580.1	=	NW_003315969.1	PATCHES
HSCHR21_4_CTG1_1	novel-patch	21	Chromosome	GL383581.1	=	NW_003315970.1	PATCHES
HG329_PATCH	fix-patch	22	Chromosome	JH720449.1	=	NW_003871096.1	PATCHES
HG1486_PATCH	fix-patch	22	Chromosome	JH806583.1	=	NW_004070873.1	PATCHES
HG1487_PATCH	fix-patch	22	Chromosome	JH806584.1	=	NW_004070874.1	PATCHES
HG1488_PATCH	fix-patch	22	Chromosome	JH806585.1	=	NW_004070875.1	PATCHES
HSCHR22_1_CTG1	novel-patch	22	Chromosome	GL383582.2	=	NW_003315971.2	PATCHES
HSCHR22_1_CTG2	novel-patch	22	Chromosome	GL383583.1	=	NW_003315972.1	PATCHES
HSCHR22_2_CTG1	novel-patch	22	Chromosome	KB663609.1	=	NW_004504305.1	PATCHES
HG497_PATCH	fix-patch	22	Chromosome	JH806586.1	=	NW_004070876.1	PATCHES
HG480_HG481_PATCH	fix-patch	X	Chromosome	GL877877.1	=	NW_003571064.1	PATCHES
HG1423_PATCH	fix-patch	X	Chromosome	JH720451.1	=	NW_003871098.1	PATCHES
HG1424_PATCH	fix-patch	X	Chromosome	JH720452.1	=	NW_003871099.1	PATCHES
HG1435_PATCH	fix-patch	X	Chromosome	JH806589.1	=	NW_004070879.1	PATCHES
HG29_PATCH	fix-patch	X	Chromosome	KB021648.1	=	NW_004166866.1	PATCHES
HG1436_HG1432_PATCH	fix-patch	X	Chromosome	JH806590.2	=	NW_004070880.2	PATCHES
HG1433_PATCH	fix-patch	X	Chromosome	JH806587.1	=	NW_004070877.1	PATCHES
HG1437_PATCH	fix-patch	X	Chromosome	JH806591.1	=	NW_004070881.1	PATCHES
HG1438_PATCH	fix-patch	X	Chromosome	JH806592.1	=	NW_004070882.1	PATCHES
HG1425_PATCH	fix-patch	X	Chromosome	JH720453.1	=	NW_003871100.1	PATCHES
HG1426_PATCH	fix-patch	X	Chromosome	JH720454.3	=	NW_003871101.3	PATCHES
HG1439_PATCH	fix-patch	X	Chromosome	JH806593.1	=	NW_004070883.1	PATCHES
HG1440_PATCH	fix-patch	X	Chromosome	JH806594.1	=	NW_004070884.1	PATCHES
HG1441_PATCH	fix-patch	X	Chromosome	JH806595.1	=	NW_004070885.1	PATCHES
HG375_PATCH	fix-patch	X	Chromosome	JH720455.1	=	NW_003871102.1	PATCHES
HG1434_PATCH	fix-patch	X	Chromosome	JH806588.1	=	NW_004070878.1	PATCHES
HG1462_PATCH	fix-patch	X	Chromosome	JH806601.1	=	NW_004070891.1	PATCHES
HG1463_PATCH	fix-patch	X	Chromosome	JH806602.1	=	NW_004070892.1	PATCHES
HG1490_PATCH	fix-patch	X	Chromosome	JH806603.1	=	NW_004070893.1	PATCHES
HG1442_PATCH	fix-patch	X	Chromosome	JH806596.1	=	NW_004070886.1	PATCHES
HG1443_HG1444_PATCH	fix-patch	X	Chromosome	JH806597.1	=	NW_004070887.1	PATCHES
HG1453_PATCH	fix-patch	X	Chromosome	JH806598.1	=	NW_004070888.1	PATCHES
HG1458_PATCH	fix-patch	X	Chromosome	JH806599.1	=	NW_004070889.1	PATCHES
HG1459_PATCH	fix-patch	X	Chromosome	JH806600.1	=	NW_004070890.1	PATCHES
HG1497_PATCH	fix-patch	X	Chromosome	JH159150.2	=	NW_003871103.2	PATCHES
</pre></body></html>
